Method,COT,Engine,Grounding(only comp),Fewshot,Dynamics,Generalization,COUNT,Total SR,Total GC,Total PLANACC,Task SR,Task GC,Task PLANACC,Perturb,Split,Seed,Raw Reward,Raw GC,Raw Plan,timestamp
ours,False,gpt-4o,False,False,stationary,ours,"[17, 0, 0, 0, 3, 0]",0.0,0.0,0.0,"[0, 0, 0, 0, 0, 0]","[0.0, 0, 0, 0, 0.0, 0]","[0.0, 0, 0, 0, 0.0, 0]",0.5,eval_in_distribution,42,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2026-02-11 12:03:36
ours,False,gpt-4o,False,False,stationary,ours,"[17, 0, 0, 0, 3, 0]",0.0,0.0,0.0,"[0, 0, 0, 0, 0, 0]","[0.0, 0, 0, 0, 0.0, 0]","[0.0, 0, 0, 0, 0.0, 0]",0.5,eval_in_distribution,42,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2026-02-11 12:23:35
ours,False,gpt-4o,False,False,stationary,ours,"[7, 4, 3, 0, 1, 5]",0.0,0.0,0.0,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0, 0.0, 0.0]",0.5,eval_in_distribution,42,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2026-02-11 12:31:57
